Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
252542	252682	140	846	334
252702	252882	180	851	354
252922	253052	130	853	376
253082	253162	80	793	395
253282	253452	170	849	391
253471	253751	280	888	421
253941	254151	210	858	441
254221	254301	80	868	427
254511	254641	130	806	307
254691	254921	230	881	303
254941	255081	140	893	317
255121	255251	130	876	323
255780	256200	420	868	304
256340	256820	480	887	325
256840	256970	130	880	318
257049	257269	220	890	235
257289	257369	80	903	226
257579	257669	90	754	265
257749	258219	470	886	291
258269	258679	410	891	303
258738	258918	180	910	314
258988	259198	210	948	339
259218	259508	290	908	335
259528	260138	610	899	322
260228	260558	330	910	323
260677	260837	160	882	348
260987	261357	370	920	312
261377	261567	190	916	349
261777	261867	90	910	261
261887	262117	230	923	241
262176	262586	410	925	261
262606	262756	150	924	232
262776	263286	510	939	239
263326	263396	70	873	225
263506	263666	160	853	246
263755	263905	150	917	360
264035	264175	140	931	379
264465	264555	90	978	145
264575	264685	110	971	157
264705	264845	140	961	169
264875	265085	210	964	88
265095	265275	180	966	150
265584	265674	90	972	262
265814	265974	160	796	426
266004	266494	490	772	322
266584	266864	280	894	383
266894	267114	220	898	495
267843	268013	170	955	270
268193	268303	110	903	270
268693	268893	200	937	362
268972	269182	210	928	391
269502	269582	80	948	382
269652	269812	160	902	294
270132	270202	70	939	517
270222	270452	230	918	444
270482	270622	140	911	568
271461	271541	80	1008	231
271571	271761	190	1003	288
271781	272171	390	1026	315
272540	272750	210	958	274
273150	273240	90	1029	357
273360	273600	240	1083	309
273770	274020	250	1022	319
274189	274279	90	948	397
274369	274509	140	919	444
274529	274649	120	962	435
274679	274849	170	1022	437
274869	275269	400	985	445
275569	275689	120	947	382
275738	275948	210	925	292
276038	276188	150	993	209
276288	276458	170	1065	179
276738	276928	190	927	577
276998	277088	90	922	595
277547	277787	240	892	245
277877	278057	180	919	258
278077	278187	110	934	267
278227	278717	490	949	290
278777	279037	260	938	278
279056	279356	300	895	234
279376	279656	280	915	177
279756	279996	240	945	199
280036	280146	110	974	203
280166	280766	600	1003	221
281455	281725	270	858	257
281775	281905	130	993	302
281995	282405	410	968	332
282474	282664	190	947	247
282974	283734	760	925	256
283774	284084	310	922	278
284223	284323	100	1029	338
284513	284823	310	903	362
285233	285713	480	1000	213
285753	285873	120	956	223
285892	286372	480	960	208
286452	286712	260	989	192
286772	286982	210	983	175
287422	287572	150	914	164
287591	287661	70	908	207
287741	287881	140	919	199
288271	288441	170	855	364
288761	288861	100	913	267
289011	289121	110	999	238
289150	289230	80	991	292
289260	289670	410	943	235
289710	289980	270	911	244
290020	290170	150	792	266
290320	290530	210	866	379
290690	290810	120	796	394
290969	291169	200	909	382
291199	291789	590	918	339
291829	292079	250	934	336
292099	292169	70	914	345
292209	292299	90	896	341
292319	292419	100	918	328
292439	292859	420	887	336
292918	293158	240	886	319
293178	293258	80	907	314
293278	293418	140	896	320
293608	293718	110	905	332
293738	293988	250	921	322
294028	294118	90	944	318
294138	294478	340	948	330
294617	295437	820	949	345
295487	295857	370	914	364
296726	297076	350	1018	328
297096	297216	120	985	327
297376	297456	80	1002	389
297825	297895	70	936	464
297985	298135	150	983	484
298735	298975	240	990	494
298995	299105	110	1012	515
299404	299654	250	1062	547
299674	299804	130	1055	548
300444	300524	80	898	451
300724	300834	110	848	399
300934	301004	70	862	488
301014	301144	130	879	508
301273	301353	80	828	471
301423	301523	100	926	530
301693	301823	130	980	633
302243	302313	70	927	304
302373	302653	280	943	318
303112	303322	210	905	435
303342	303632	290	910	414
303842	304002	160	954	455
304042	304252	210	949	486
304392	304552	160	958	498
305521	305671	150	939	185
305691	305971	280	929	170
306300	306500	200	915	374
306520	307020	500	920	384
307080	307470	390	923	425
307520	307630	110	924	447
307859	308199	340	930	204
308219	308579	360	980	248
308959	309129	170	997	608
309209	309389	180	965	556
309459	309589	130	930	556
309648	309748	100	860	486
310278	310388	110	895	457
310468	310668	200	904	434
310688	311008	320	910	420
311038	311178	140	891	445
311907	311997	90	882	457
312087	312207	120	883	487
312217	312467	250	900	468
312787	312897	110	914	460
313076	313266	190	901	446
313286	313886	600	899	430
313986	314756	770	895	424
314775	314865	90	917	446
314955	315155	200	953	413
315205	315425	220	958	426
315475	315625	150	850	394
315875	316355	480	904	410
316374	316484	110	936	415
316544	317064	520	928	404
317304	317374	70	874	293
317424	317564	140	850	272
317824	317894	70	873	275
317944	318084	140	880	394
318123	318373	250	865	399
318493	318563	70	872	292
318593	318703	110	860	235
318773	319722	949	855	261
319742	319872	130	855	272
319892	320252	360	860	285
320322	320502	180	913	364
320542	320902	360	842	323
321072	321302	230	854	303
321312	321792	480	876	313
321811	322111	300	848	309
322141	322321	180	890	330
322391	322701	310	874	350
322891	323111	220	819	320
323150	323260	110	904	339
323370	323440	70	892	322
323480	323890	410	900	330
324190	324660	470	911	330
324899	325199	300	919	325
325229	325379	150	880	321
325439	325699	260	949	339
325739	326389	650	851	339
326419	326649	230	934	359
326878	327248	370	964	362
327268	328008	740	934	362
328028	328348	320	954	380
328487	328567	80	973	353
328607	329307	700	990	353
329327	329567	240	995	364
329587	329937	350	993	375
330046	330136	90	801	388
330186	330406	220	954	401
330426	330596	170	956	383
330636	330776	140	889	387
330926	331336	410	972	435
331466	331716	250	913	454
331735	331915	180	943	445
331975	332195	220	945	393
332235	332305	70	903	376
332595	332965	370	888	354
333125	333355	230	901	369
333394	333634	240	911	374
333814	334024	210	887	381
334044	334154	110	893	397
334204	334364	160	932	488
334454	334584	130	929	455
334684	334874	190	906	351
334924	335004	80	820	356
335023	335183	160	820	386
335433	335513	80	1001	317
335633	335783	150	954	127
335833	336193	360	965	206
336393	336493	100	998	160
336762	336922	160	956	259
337372	337552	180	927	333
337622	337692	70	957	350
337752	337972	220	1020	185
338052	338162	110	935	326
338272	338722	450	950	329
338801	338911	110	957	129
339671	339911	240	1026	9
339961	340091	130	1001	171
340490	340750	260	1027	51
340770	340870	100	1037	37
340910	341050	140	1028	80
341290	341370	80	921	473
341390	341480	90	924	446
341660	341740	80	942	306
342169	342289	120	864	234
342359	342429	70	796	354
342439	342579	140	843	379
342949	343059	110	1010	198
343109	343349	240	992	276
343409	343569	160	966	188
343708	343838	130	1091	84
343938	344138	200	1065	45
344208	344278	70	1082	40
344328	344458	130	1023	156
344478	344638	160	1038	149
344668	344868	200	985	199
344898	345088	190	993	243
345138	345428	290	957	480
345527	345917	390	924	546
346637	346757	120	875	428
346807	347037	230	902	447
347056	347146	90	921	457
347636	347716	80	1037	107
347736	347896	160	1019	127
348046	348116	70	1046	115
348136	348236	100	1035	116
348296	348676	380	1246	194
348735	348855	120	1255	185
348875	348965	90	1266	178
349035	349195	160	1074	218
349295	349475	180	946	453
349515	349585	70	887	554
349625	349705	80	905	536
349795	349925	130	961	439
349965	350055	90	970	414
350304	350554	250	946	447
350614	350704	90	944	289
350894	351134	240	1109	133
351154	351254	100	1074	129
351824	351984	160	951	361
352253	352353	100	989	50
352393	352583	190	973	111
352633	352783	150	939	260
352803	353063	260	936	237
353093	353223	130	927	312
353243	353523	280	917	299
353672	353882	210	932	226
353982	354052	70	946	19
354072	354282	210	954	53
354412	354672	260	957	282
354772	354842	70	962	254
354882	355072	190	966	186
355122	355672	550	1007	80
355711	356041	330	984	148
356081	356301	220	1015	92
356311	356711	400	988	79
356811	357770	959	986	18
357860	358490	630	977	20
358510	359080	570	996	63
359109	359439	330	966	92
359459	359969	510	986	66
360009	360209	200	986	79
360229	360449	220	983	117
360578	360678	100	936	379
360798	360948	150	921	458
361028	361598	570	919	457
361618	362717	1099	939	445
362757	363537	780	966	387
363567	363647	80	941	454
363707	363877	170	950	479
363936	364096	160	958	505
364256	364386	130	966	407
364546	364726	180	958	508
