Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
10354	250	250	968	241
10364	250	250	968	241
10374	250	250	968	241
10384	250	250	968	241
10394	250	250	968	241
10404	250	250	968	241
10414	250	250	968	241
10424	250	250	968	241
10434	250	250	968	241
10444	250	250	968	241
10454	250	250	968	241
10464	250	250	968	241
10474	250	250	968	241
10504	210	210	979	211
10514	210	210	979	211
10524	210	210	979	211
10534	210	210	979	211
10544	210	210	979	211
10554	210	210	979	211
10564	210	210	979	211
10574	210	210	979	211
10584	210	210	979	211
10594	210	210	979	211
10604	210	210	979	211
10614	210	210	979	211
10624	210	210	979	211
10634	210	210	979	211
10644	210	210	979	211
10654	210	210	979	211
10664	210	210	979	211
10674	210	210	979	211
10684	210	210	979	211
10694	210	210	979	211
10704	210	210	979	211
10774	380	380	964	213
10784	380	380	964	213
10794	380	380	964	213
10804	380	380	964	213
10814	380	380	964	213
10824	380	380	964	213
10834	380	380	964	213
10844	380	380	964	213
10854	380	380	964	213
10864	380	380	964	213
10874	380	380	964	213
10884	380	380	964	213
10894	380	380	964	213
10904	380	380	964	213
10914	380	380	964	213
10924	380	380	964	213
10934	380	380	964	213
10944	380	380	964	213
10954	380	380	964	213
10964	380	380	964	213
10974	380	380	964	213
10984	380	380	964	213
10994	380	380	964	213
11004	380	380	964	213
11014	380	380	964	213
11024	380	380	964	213
11034	380	380	964	213
11044	380	380	964	213
11054	380	380	964	213
11064	380	380	964	213
11074	380	380	964	213
11084	380	380	964	213
11094	380	380	964	213
11104	380	380	964	213
11113	380	380	964	213
11123	380	380	964	213
11133	380	380	964	213
11143	380	380	964	213
11223	160	160	999	206
11233	160	160	999	206
11243	160	160	999	206
11253	160	160	999	206
11263	160	160	999	206
11273	160	160	999	206
11283	160	160	999	206
11293	160	160	999	206
11303	160	160	999	206
11313	160	160	999	206
11323	160	160	999	206
11333	160	160	999	206
11343	160	160	999	206
11353	160	160	999	206
11363	160	160	999	206
11373	160	160	999	206
11453	240	240	1011	212
11463	240	240	1011	212
11473	240	240	1011	212
11483	240	240	1011	212
11493	240	240	1011	212
11503	240	240	1011	212
11513	240	240	1011	212
11523	240	240	1011	212
11533	240	240	1011	212
11543	240	240	1011	212
11553	240	240	1011	212
11563	240	240	1011	212
11573	240	240	1011	212
11583	240	240	1011	212
11593	240	240	1011	212
11603	240	240	1011	212
11613	240	240	1011	212
11623	240	240	1011	212
