start_time	end_time	label
292.319	292.419	BG
292.439	292.859	BG
292.918	293.158	BG
293.178	293.258	BG
293.278	293.418	BG
293.608	293.718	BG
293.738	293.988	BG
294.028	294.118	BG
294.138	294.478	BG
294.617	295.437	BG
295.487	295.857	BG
296.726	297.076	module
297.096	297.216	module
297.376	297.456	BG
297.825	297.895	BG
297.985	298.135	BG
298.735	298.975	BG
298.995	299.105	BG
299.404	299.654	BG
299.674	299.804	BG
300.444	300.524	module
300.724	300.834	BG
300.934	301.004	module
301.014	301.144	module
301.273	301.353	BG
301.423	301.523	BG
301.693	301.823	BG
302.243	302.313	BG
302.373	302.653	BG
303.112	303.322	BG
303.342	303.632	BG
303.842	304.002	BG
304.042	304.252	BG
304.392	304.552	BG
305.521	305.671	BG
305.691	305.971	BG
306.3	306.5	module
306.52	307.02	module
307.08	307.47	module
307.52	307.63	BG
307.859	308.199	tool
308.219	308.579	tool
308.959	309.129	module
309.209	309.389	module
309.459	309.589	module
309.648	309.748	module
310.278	310.388	module
310.468	310.668	module
310.688	311.008	module
311.038	311.178	BG
311.907	311.997	module
312.087	312.207	module
312.217	312.467	module
312.787	312.897	module
313.076	313.266	module
313.286	313.886	module
313.986	314.756	module
314.775	314.865	BG
314.955	315.155	module
315.205	315.425	module
315.475	315.625	module
315.875	316.355	BG
316.374	316.484	BG
316.544	317.064	module
317.304	317.374	module
317.424	317.564	module
317.824	317.894	module
317.944	318.084	BG
318.123	318.373	BG
318.493	318.563	module
318.593	318.703	module
318.773	319.722	module
319.742	319.872	module
319.892	320.252	module
320.322	320.502	module
320.542	320.902	module
321.072	321.302	BG
321.312	321.792	module
321.811	322.111	module
322.141	322.321	BG
322.391	322.701	BG
322.891	323.111	module
323.15	323.26	module
323.37	323.44	BG
323.48	323.89	module
324.19	324.66	module
324.899	325.199	module
325.229	325.379	BG
325.439	325.699	BG
325.739	326.389	module
326.419	326.649	BG
326.878	327.248	module
327.268	328.008	BG
328.028	328.348	BG
328.487	328.567	module
328.607	329.307	module
329.327	329.567	module
329.587	329.937	module
330.046	330.136	module
330.186	330.406	module
330.426	330.596	module
330.636	330.776	module
330.926	331.336	module
331.466	331.716	BG
331.735	331.915	module
331.975	332.195	module
332.235	332.305	BG
332.595	332.965	BG
333.125	333.355	module
333.394	333.634	module
333.814	334.024	module
334.044	334.154	module
334.204	334.364	module
334.454	334.584	BG
334.684	334.874	BG
334.924	335.004	BG
335.023	335.183	BG
335.433	335.513	BG
335.633	335.783	BG
335.833	336.193	BG
336.393	336.493	tool
336.762	336.922	BG
337.372	337.552	tool
337.622	337.692	BG
337.752	337.972	BG
338.052	338.162	tool
338.272	338.722	BG
338.801	338.911	tool
339.671	339.911	tool
339.961	340.091	tool
340.49	340.75	tool
340.77	340.87	tool
340.91	341.05	tool
